"power","time","gas","pressure","target","campaign","initial"
268,3665,"Nitrogen",60,6.653113001,2,FALSE
268,3646,"Nitrogen",60,6.576450024,2,FALSE
268,2989,"Nitrogen",60,5.773739106,2,FALSE
284,3530,"Nitrogen",60,6.532679328,2,FALSE
269,3625,"Nitrogen",60,6.852059045,2,FALSE
357,4481,"Nitrogen",10,4.427107899,2,FALSE
271,3805,"Nitrogen",70,5.884067116,2,FALSE
332,4256,"Nitrogen",60,5.507014404,2,FALSE
44,3012,"Nitrogen",70,1.032121919,2,FALSE
19,2960,"Nitrogen",70,1.026473452,2,FALSE
270,3264,"Nitrogen",60,5.520003021,2,FALSE
264,3450,"Nitrogen",40,7.210614834,2,FALSE
201,3501,"Nitrogen",40,6.158800503,2,FALSE
204,3091,"Nitrogen",60,5.374869694,2,FALSE
200,2985,"Nitrogen",40,4.922664071,2,FALSE
282,3638,"Nitrogen",50,5.826871944,2,FALSE
269,3669,"Nitrogen",70,3.953442577,2,FALSE
121,3049,"Nitrogen",60,1.046390009,2,FALSE
178,2766,"Nitrogen",50,2.137991908,2,FALSE
242,4974,"Nitrogen",440,1.104717027,3,TRUE
429,4810,"Nitrogen",630,1.184402256,3,TRUE
1108,9828,"Nitrogen",820,1.315185066,3,TRUE
1316,10972,"Nitrogen",200,1.404411739,3,TRUE
933,7024,"Nitrogen",940,1.147012832,3,TRUE
2068,15492,"Nitrogen",310,1.381856452,3,TRUE
3706,10137,"Nitrogen",370,1.289499341,3,TRUE
4297,9256,"Nitrogen",110,1.244286288,3,TRUE
4886,11627,"Nitrogen",680,1.407561406,3,TRUE
5480,12267,"Nitrogen",180,1.50383908,3,TRUE
396,9065,"Argon",460,2.393939752,3,TRUE
489,15493,"Argon",460,1.901521129,3,TRUE
1703,10481,"Argon",960,1.592857066,3,TRUE
4139,1957,"Argon",900,1.568918817,3,TRUE
4962,15074,"Argon",360,1.456950104,3,TRUE
1843,16852,"Air",810,0,3,TRUE
83,8031,"Air",610,0,3,TRUE
1286,18227,"Air",920,0,3,TRUE
3907,9823,"Air",30,0,3,TRUE
5332,6770,"Air",630,0,3,TRUE
328,8610,"Argon",530,1.882627369,3,FALSE
364,9083,"Argon",480,1.335091618,3,FALSE
389,8881,"Argon",460,1.164471532,3,FALSE
409,8976,"Argon",460,1.201445706,3,FALSE
397,9027,"Argon",460,1.128274053,3,FALSE
395,9748,"Argon",460,1.725747433,3,FALSE
10,9055,"Argon",580,1.046819601,3,FALSE
768,16287,"Argon",460,1.655609004,3,FALSE
396,16591,"Argon",550,1.184117054,3,FALSE
396,9066,"Argon",460,1.210509431,3,FALSE
1950,16827,"Argon",460,1.360426933,3,FALSE
4001,9788,"Argon",10,1.389450561,3,FALSE
286,8454,"Argon",540,2.340876948,3,FALSE
280,8268,"Argon",540,2.749177651,3,FALSE
262,8235,"Argon",100,4.700431073,3,FALSE
260,8138,"Argon",70,5.827014653,3,FALSE
