"power","time","gas","pressure","target","campaign","initial"
1554,7579,"Argon",810,4.861975481,2,FALSE
1787,8401,"Nitrogen",850,1.223148036,2,FALSE
4264,5040,"Argon",810,3.678558753,2,FALSE
2126,18839,"Air",790,0.12,2,FALSE
806,10254,"Argon",920,2.10089025,2,FALSE
3996,2385,"Argon",810,3.417903947,2,FALSE
4556,8862,"Argon",850,3.090614041,2,FALSE
583,4851,"Argon",800,1.859487982,2,FALSE
2239,6214,"Argon",800,4.638548163,2,FALSE
2318,6336,"Argon",800,4.030687184,2,FALSE
2265,6993,"Argon",800,3.512136635,2,FALSE
1553,5414,"Argon",800,3.41714669,2,FALSE
4039,10187,"Argon",890,2.862638435,2,FALSE
1557,8585,"Argon",960,3.818186116,2,FALSE
3694,8861,"Argon",890,3.920052092,2,FALSE
4554,4969,"Argon",870,3.158274444,2,FALSE
3928,8863,"Nitrogen",810,2.013723055,2,FALSE
396,9065,"Argon",460,1.547277794,3,TRUE
1703,10481,"Argon",960,2.40556934,3,TRUE
489,15493,"Argon",460,1.007313721,3,TRUE
4962,15074,"Argon",360,1.752954092,3,TRUE
4139,1957,"Argon",900,3.878359673,3,TRUE
4297,9256,"Nitrogen",110,1.663455182,3,TRUE
5480,12267,"Nitrogen",180,1.005867927,3,TRUE
1316,10972,"Nitrogen",200,1.097196388,3,TRUE
2068,15492,"Nitrogen",310,1.164491994,3,TRUE
3706,10137,"Nitrogen",370,1.308565959,3,TRUE
242,4974,"Nitrogen",440,1.001748854,3,TRUE
429,4810,"Nitrogen",630,1.091360451,3,TRUE
4886,11627,"Nitrogen",680,1.624900453,3,TRUE
1108,9828,"Nitrogen",820,0.822930933,3,TRUE
933,7024,"Nitrogen",940,0.957551143,3,TRUE
3907,9823,"Air",30,0.12,3,TRUE
5332,6770,"Air",630,0.12,3,TRUE
1286,18227,"Air",920,0.12,3,TRUE
83,8031,"Air",610,0.12,3,TRUE
1843,16852,"Air",810,0.12,3,TRUE
4084,2247,"Argon",870,3.234511681,3,FALSE
4080,619,"Argon",900,3.463625172,3,FALSE
4190,3513,"Argon",850,3.511957117,3,FALSE
4229,3706,"Argon",840,3.154493003,3,FALSE
3995,4249,"Argon",840,2.917860127,3,FALSE
3950,1978,"Argon",910,3.153203935,3,FALSE
3902,915,"Argon",910,3.351023155,3,FALSE
4198,4520,"Argon",920,3.031630055,3,FALSE
4111,4619,"Argon",830,2.319966458,3,FALSE
3816,1443,"Argon",890,3.144968748,3,FALSE
4128,1772,"Argon",900,3.433929382,3,FALSE
3773,2909,"Argon",920,3.195728105,3,FALSE
3112,1875,"Argon",920,4.597213476,3,FALSE
2640,1894,"Argon",930,4.982250576,3,FALSE
2371,1839,"Argon",930,4.938898891,3,FALSE
2232,1811,"Argon",930,4.185933086,3,FALSE
2132,1831,"Argon",930,4.674909669,3,FALSE
3331,1919,"Argon",920,4.56812831,3,FALSE
2108,1822,"Argon",930,3.451911478,3,FALSE
3250,1828,"Argon",930,3.961513131,3,FALSE
2136,1833,"Argon",930,5.710152082,3,FALSE
2122,1830,"Argon",940,4.695033397,3,FALSE
2044,1926,"Air",930,0.12,3,FALSE
2036,1938,"Argon",930,4.252937613,3,FALSE
2051,1928,"Air",930,0.12,3,FALSE
1985,1938,"Argon",930,4.840338542,3,FALSE
2030,1923,"Argon",920,4.450729794,3,FALSE
2031,1924,"Argon",930,4.522467493,3,FALSE
2072,1925,"Argon",950,4.278475427,3,FALSE
1918,3445,"Nitrogen",930,1.405064387,3,FALSE
1964,1953,"Argon",930,4.682302556,3,FALSE
1943,1964,"Argon",930,4.349416681,3,FALSE
1934,1940,"Nitrogen",930,1.860522725,3,FALSE
1939,1970,"Argon",920,5.166911062,3,FALSE
1937,3236,"Argon",920,3.889057904,3,FALSE
2244,1926,"Argon",930,4.999761826,3,FALSE
1932,1927,"Argon",70,2.060778757,3,FALSE
1936,3259,"Argon",1000,6.584283967,3,FALSE
1936,3346,"Argon",1000,4.500399217,3,FALSE
2116,3348,"Argon",990,5.120480361,3,FALSE
1936,3254,"Argon",1000,4.745233083,3,FALSE
1935,3289,"Argon",1000,4.697329919,3,FALSE
2004,3248,"Nitrogen",1000,1.859617326,3,FALSE
1926,11076,"Argon",1000,4.935404476,3,FALSE
1923,11160,"Argon",990,5.352813318,3,FALSE
1921,11144,"Argon",980,4.426664168,3,FALSE
1920,11387,"Argon",1000,3.344651461,3,FALSE
1912,3405,"Argon",940,5.021750861,3,FALSE
1917,6177,"Argon",1000,4.381749873,3,FALSE
1880,17750,"Argon",960,4.627738879,3,FALSE
