"power","time","gas","pressure","target","campaign","initial"
2065,18880,"Argon",900,3.571770687,2,FALSE
1956,18873,"Argon",720,2.901374775,2,FALSE
2838,18878,"Argon",880,2.127514126,2,FALSE
1908,18880,"Nitrogen",860,1.036697397,2,FALSE
2131,18800,"Argon",820,4.051220319,2,FALSE
2128,18880,"Argon",820,3.870920293,2,FALSE
1948,18880,"Nitrogen",860,1.255781892,2,FALSE
2143,18880,"Argon",810,3.960298908,2,FALSE
1984,18880,"Argon",850,3.855773748,2,FALSE
2145,18880,"Argon",810,4.349114421,2,FALSE
2150,18880,"Argon",810,4.16268586,2,FALSE
3797,18821,"Air",800,0.12,2,FALSE
698,18907,"Argon",820,1.978090509,2,FALSE
1878,7879,"Argon",840,3.118894583,2,FALSE
1546,18375,"Argon",320,1.818586293,2,FALSE
2023,3171,"Argon",800,3.439505258,2,FALSE
2148,18880,"Argon",290,1.914237706,2,FALSE
2153,3502,"Argon",800,2.96307017,2,FALSE
396,9065,"Argon",460,1.365235057,3,TRUE
4297,9256,"Nitrogen",110,1.685642824,3,TRUE
2068,15492,"Nitrogen",310,1.236027609,3,TRUE
5480,12267,"Nitrogen",180,1.149918539,3,TRUE
1316,10972,"Nitrogen",200,1.2159602,3,TRUE
1108,9828,"Nitrogen",820,0.953560013,3,TRUE
933,7024,"Nitrogen",940,0.917709244,3,TRUE
4886,11627,"Nitrogen",680,1.340241441,3,TRUE
1703,10481,"Argon",960,3.007009955,3,TRUE
489,15493,"Argon",460,1.236779697,3,TRUE
429,4810,"Nitrogen",630,0.869027237,3,TRUE
3706,10137,"Nitrogen",370,1.522617069,3,TRUE
4962,15074,"Argon",360,1.323049628,3,TRUE
4139,1957,"Argon",900,3.134584619,3,TRUE
242,4974,"Nitrogen",440,0.85456231,3,TRUE
1843,16852,"Air",810,0.12,3,TRUE
83,8031,"Air",610,0.12,3,TRUE
1286,18227,"Air",920,0.12,3,TRUE
3907,9823,"Air",30,0.12,3,TRUE
5332,6770,"Air",630,0.12,3,TRUE
4046,2524,"Argon",880,3.334058141,3,FALSE
3993,3615,"Argon",860,2.662923334,3,FALSE
4022,2321,"Argon",900,3.341319333,3,FALSE
1574,11017,"Argon",1000,2.932014539,3,FALSE
1717,10382,"Argon",970,3.16631637,3,FALSE
4033,3055,"Argon",880,3.371732725,3,FALSE
4079,3055,"Argon",850,2.338842087,3,FALSE
1457,2629,"Argon",890,3.080188754,3,FALSE
1408,2841,"Argon",880,3.193382374,3,FALSE
1776,10375,"Argon",970,4.08690544,3,FALSE
1809,10259,"Argon",980,4.16942864,3,FALSE
1757,10378,"Argon",970,5.499063387,3,FALSE
5394,10380,"Argon",970,2.287450434,3,FALSE
1739,10379,"Argon",990,4.724743249,3,FALSE
1343,9585,"Argon",980,4.276949681,3,FALSE
1333,6623,"Argon",970,3.45655082,3,FALSE
2451,10379,"Argon",970,4.599581634,3,FALSE
1329,9605,"Argon",990,3.766115716,3,FALSE
1315,9331,"Argon",980,3.92767588,3,FALSE
2905,10380,"Argon",970,3.444947127,3,FALSE
1307,9322,"Argon",1000,5.159847662,3,FALSE
5041,9305,"Argon",1000,2.249307903,3,FALSE
1300,9324,"Argon",1000,3.370876358,3,FALSE
1280,17180,"Argon",980,2.177099828,3,FALSE
1760,11229,"Argon",970,3.207143574,3,FALSE
1560,9314,"Argon",1000,3.230997225,3,FALSE
1293,9319,"Argon",940,3.307882968,3,FALSE
1288,19449,"Argon",920,2.964636773,3,FALSE
1287,9365,"Argon",920,2.486961786,3,FALSE
1355,9322,"Argon",1000,3.062587782,3,FALSE
1286,18626,"Argon",930,1.67188718,3,FALSE
2309,16179,"Argon",990,2.858442071,3,FALSE
3805,19668,"Argon",920,1.959362197,3,FALSE
1930,2421,"Argon",800,3.080778976,3,FALSE
4717,1457,"Argon",640,2.323310757,3,FALSE
1891,10378,"Argon",970,4.067806774,3,FALSE
1844,16618,"Air",760,0.12,3,FALSE
1288,19515,"Argon",920,2.446689168,3,FALSE
3155,10378,"Air",950,0.12,3,FALSE
3156,10357,"Argon",950,2.691402923,3,FALSE
3066,10379,"Air",960,0.12,3,FALSE
3018,10379,"Air",960,0.12,3,FALSE
1736,10319,"Nitrogen",970,1.051970301,3,FALSE
1285,1922,"Argon",990,3.132160852,3,FALSE
1735,10293,"Nitrogen",970,1.175244034,3,FALSE
1304,9321,"Argon",1000,3.582150476,3,FALSE
1740,10379,"Argon",970,3.700694716,3,FALSE
2824,10377,"Argon",960,2.902882653,3,FALSE
1738,10331,"Argon",810,3.301696296,3,FALSE
1915,10379,"Argon",990,3.893852932,3,FALSE
